Author,Year,User Rating,Reviews,Name,Price,Genre
David Zinczenko,2009,4.5,720,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,1.0,Non Fiction
Deborah Diesen,2017,4.8,9784,The Pout-Pout Fish,5.0,Fiction
Deborah Diesen,2018,4.8,9784,The Pout-Pout Fish,5.0,Fiction
Delia Owens,2019,4.8,87841,Where the Crawdads Sing,15.0,Fiction
Dinah Bucholz,2019,4.7,9030,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,10.0,Non Fiction
Don Miguel Ruiz,2013,4.7,23308,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),6.0,Non Fiction
Don Miguel Ruiz,2015,4.7,23308,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),6.0,Non Fiction
Don Miguel Ruiz,2016,4.7,23308,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),6.0,Non Fiction
Don Miguel Ruiz,2017,4.7,23308,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),6.0,Non Fiction
Don Miguel Ruiz,2018,4.7,23308,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),6.0,Non Fiction
Don Miguel Ruiz,2019,4.7,23308,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),6.0,Non Fiction
Donna Tartt,2013,3.9,33844,The Goldfinch: A Novel (Pulitzer Prize for Fiction),20.0,Fiction
Donna Tartt,2014,3.9,33844,The Goldfinch: A Novel (Pulitzer Prize for Fiction),20.0,Fiction
Doug Lemov,2010,4.4,637,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,20.0,Non Fiction
Doug Lemov,2011,4.4,637,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,20.0,Non Fiction
Dr. Seuss,2012,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
Dr. Seuss,2013,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
Dr. Seuss,2014,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
Dr. Seuss,2015,4.7,1873,What Pet Should I Get? (Classic Seuss),14.0,Fiction
Dr. Seuss,2015,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
Dr. Seuss,2016,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
Dr. Seuss,2017,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
Dr. Seuss,2018,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
Dr. Seuss,2019,4.9,21834,"Oh, the Places You'll Go!",8.0,Fiction
